id,s2_doy,doy,main_stage,main_stage_percent,secondary_stage,secondary_stage_percent,root_est,leaf_devel,squaring,flowering,boll_devel,boll_open,metalabel,sowing_date,harvest_date
10,125,124,1,100,0,,2,0,0,0,0,0,1,22/4/2021,16/9/2021
10,130,131,2,100,0,,0,2,0,0,0,0,4,22/4/2021,16/9/2021
10,140,140,2,100,0,,0,2,0,0,0,0,4,22/4/2021,16/9/2021
10,148,148,2,100,0,,0,2,0,0,0,0,4,22/4/2021,16/9/2021
10,153,153,2,100,0,,0,2,0,0,0,0,4,22/4/2021,16/9/2021
10,158,159,2,100,0,,0,2,0,0,0,0,4,22/4/2021,16/9/2021
10,160,159,2,100,0,,0,2,0,0,0,0,4,22/4/2021,16/9/2021
10,168,167,3,100,0,,0,0,2,0,0,0,7,22/4/2021,16/9/2021
10,173,174,3,100,0,,0,0,2,0,0,0,7,22/4/2021,16/9/2021
10,175,174,3,100,0,,0,0,2,0,0,0,7,22/4/2021,16/9/2021
10,183,184,3,100,4,60.0,0,0,2,1,0,0,8,22/4/2021,16/9/2021
10,185,184,3,100,4,60.0,0,0,2,1,0,0,8,22/4/2021,16/9/2021
10,193,194,4,100,5,70.0,0,0,0,2,1,0,11,22/4/2021,16/9/2021
10,195,194,4,100,5,70.0,0,0,0,2,1,0,11,22/4/2021,16/9/2021
10,200,201,4,100,5,70.0,0,0,0,2,1,0,11,22/4/2021,16/9/2021
10,215,216,4,100,5,100.0,0,0,0,2,1,0,11,22/4/2021,16/9/2021
10,223,224,5,100,4,100.0,0,0,0,1,2,0,12,22/4/2021,16/9/2021
10,225,224,5,100,4,100.0,0,0,0,1,2,0,12,22/4/2021,16/9/2021
10,233,234,5,100,6,40.0,0,0,0,0,2,1,14,22/4/2021,16/9/2021
10,235,234,5,100,6,40.0,0,0,0,0,2,1,14,22/4/2021,16/9/2021
10,245,245,5,100,6,80.0,0,0,0,0,2,1,14,22/4/2021,16/9/2021
11,130,130,1,100,0,,2,0,0,0,0,0,1,31/4/2021,18/9/2021
11,138,139,2,100,0,,0,2,0,0,0,0,4,31/4/2021,18/9/2021
11,140,139,2,100,0,,0,2,0,0,0,0,4,31/4/2021,18/9/2021
11,145,146,2,100,0,,0,2,0,0,0,0,4,31/4/2021,18/9/2021
11,153,152,2,100,0,,0,2,0,0,0,0,4,31/4/2021,18/9/2021
11,158,158,2,100,0,,0,2,0,0,0,0,4,31/4/2021,18/9/2021
11,163,163,2,100,0,,0,2,0,0,0,0,4,31/4/2021,18/9/2021
11,173,173,3,100,0,,0,0,2,0,0,0,7,31/4/2021,18/9/2021
11,183,183,3,100,0,,0,0,2,0,0,0,7,31/4/2021,18/9/2021
11,200,200,4,100,5,50.0,0,0,0,2,1,0,11,31/4/2021,18/9/2021
11,208,209,4,100,5,60.0,0,0,0,2,1,0,11,31/4/2021,18/9/2021
11,210,209,4,100,5,60.0,0,0,0,2,1,0,11,31/4/2021,18/9/2021
11,213,214,4,100,5,80.0,0,0,0,2,1,0,11,31/4/2021,18/9/2021
11,215,214,4,100,5,80.0,0,0,0,2,1,0,11,31/4/2021,18/9/2021
11,223,222,4,100,5,90.0,0,0,0,2,1,0,11,31/4/2021,18/9/2021
11,233,233,5,100,6,,0,0,0,0,2,1,14,31/4/2021,18/9/2021
11,245,245,5,100,6,40.0,0,0,0,0,2,1,14,31/4/2021,18/9/2021
11,250,250,5,100,6,50.0,0,0,0,0,2,1,14,31/4/2021,18/9/2021
12,125,126,1,100,0,,2,0,0,0,0,0,1,22/4/2021,25/9/2021
12,138,138,2,100,0,,0,2,0,0,0,0,4,22/4/2021,25/9/2021
12,143,144,2,100,0,,0,2,0,0,0,0,4,22/4/2021,25/9/2021
12,145,144,2,100,0,,0,2,0,0,0,0,4,22/4/2021,25/9/2021
12,150,151,2,100,0,,0,2,0,0,0,0,4,22/4/2021,25/9/2021
12,155,155,2,100,0,,0,2,0,0,0,0,4,22/4/2021,25/9/2021
12,160,161,2,100,0,,0,2,0,0,0,0,4,22/4/2021,25/9/2021
12,170,170,3,70,2,30.0,0,1,2,0,0,0,6,22/4/2021,25/9/2021
12,178,177,3,100,0,,0,0,2,0,0,0,7,22/4/2021,25/9/2021
12,188,188,3,100,4,80.0,0,0,2,1,0,0,8,22/4/2021,25/9/2021
